HS Thickness (mm),LS Thickness (mm),Selective Layer Thickness (mm),Total Thickness (mm),HS Conductivity (S/m),LS Conductivity (S/m),CS Conductivity (S/m),AS Conductivity (S/m),CS Fixed Charge (mol m-3),AS Fixed Charge (mol m-3),Combined Parameter B (mol m-3),HS Concentration (mol m-3),LS Concentration (mol m-3),Combined Parameter A (mol m-3),Cation Transference Number,Charge Transfer Resistance (ohms),Current Density (A),,Capacity Retention D1D2,Capacity Retention D1D5,Capacity Retention D2D10,Coulombic Efficiency C1D2,Coulombic Efficiency C5D6,Coulombic Efficiency C9D10,Voltage Efficiency C1D2,Voltage Efficiency C5D6,Voltage Efficiency C9D10,Energy Efficiency C1D2,Energy Efficiency C5D6,Energy Efficiency C9D10,Maximum Potential D1 (V),Discharge Duration D1 (h),Average Power Density D1 (W m-3),Maximum Power Density D1 (W m-3),Energy Density D1 (Wh m-3)
1.8,1.8,1.8,9,8.12,0.0172,0.746,1.3,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.594944769,0.547144738,0.876610649,1.172029374,1.167837806,1.137931051,0.236148642,0.221297981,0.214800243,0.276773145,0.258440148,0.244427866,0.196133161,5.08,1.217709894,4.281970104,6.175918079
1.8,1.8,1.8,9,8.12,0.0172,0.746,2.4,187.5,250,7.808671038,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.624372186,0.57974527,0.884302276,1.211990287,1.176171813,1.139153003,0.239507845,0.221259989,0.214253822,0.290281182,0.260239763,0.244067885,0.195029878,4.79,1.203117627,4.257883276,5.752864064
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,300,1175,518.8020354,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.43966252,0.334988375,0.717982702,0.985332986,1.177295879,1.118778551,0.256515611,0.219853365,0.247335898,0.252753293,0.258832461,0.276714097,0.201234087,18.4,0.998189228,4.393333294,18.24155117
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,300,737.5,170.9053368,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.481778456,0.386075866,0.753036819,1.170319146,1.037483841,1.160532536,0.239525859,0.259410578,0.240665119,0.280321699,0.269134283,0.279299701,0.20046322,12.2,1.0628494,4.376503765,12.84904114
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,737.5,1175,88.49568086,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.490908316,0.406432065,0.777432969,1.093848177,1.157557969,1.166178884,0.256021524,0.235597904,0.216734569,0.280048677,0.272718232,0.252751278,0.202935462,19.9,1.035993439,4.430477632,20.49300969
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,737.5,300,170.9053368,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.584197985,0.590116997,0.963913905,1.395573149,1.110417528,1.192136965,0.224417172,0.256371725,0.235232798,0.313190579,0.284679658,0.280429714,0.200520435,8,1.176551035,4.37775287,9.305841754
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,1175,300,518.8020354,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.662798181,0.672599423,0.969458886,1.624540718,1.104871004,1.195815788,0.212007386,0.240374037,0.226957047,0.344414631,0.265582304,0.271398821,0.201375496,9.41669924,1.11644736,4.396420526,10.48349995
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,300,300,0,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.54867206,0.486542206,0.848380208,1.301355439,1.191411614,1.17763935,0.237532254,0.237422912,0.216129174,0.309113891,0.282868415,0.25452222,0.202098544,7,1.162117885,4.412206065,8.025537397
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,1175,1175,0,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.54155031,0.475407377,0.800791437,1.193093756,1.175794743,1.01415037,0.260660594,0.238419176,0.239202263,0.310992527,0.280332014,0.242587064,0.203790139,22,1.038174325,4.449136895,22.71574401
1.8,1.8,1.8,9,8.12,0.0172,0.746,0.624,1175,300,518.8020354,3000,15,6868.574537,0.32,178.5,5.00E-05,,0.662798181,0.672599423,0.969458886,1.624540718,1.104871004,1.195815788,0.212007386,0.240374037,0.226957047,0.344414631,0.265582304,0.271398821,0.201375496,9.41669924,1.11644736,4.396420526,10.48349995
